mass[GeV]	e_e	mu_mu	tau_tau	nue_nue	numu_numu	nutau_nutau	quarks
0.181	1.6190404290043499e-09	0.0	0.0	0.0	0.0	0.0	0.0
0.182	1.6279854037637566e-09	0.0	0.0	0.0	0.0	0.0	0.0
0.183	1.6369303785229436e-09	0.0	0.0	0.0	0.0	0.0	0.0
0.184	1.6458753532819165e-09	0.0	0.0	0.0	0.0	0.0	0.0
0.185	1.6548203280406814e-09	0.0	0.0	0.0	0.0	0.0	0.0
0.186	1.6637653027992436e-09	0.0	0.0	0.0	0.0	0.0	0.0
0.187	1.6727102775576081e-09	0.0	0.0	0.0	0.0	0.0	0.0
0.188	1.681655252315781e-09	0.0	0.0	0.0	0.0	0.0	0.0
0.189	1.690600227073767e-09	0.0	0.0	0.0	0.0	0.0	0.0
0.19	1.6995452018315705e-09	0.0	0.0	0.0	0.0	0.0	0.0
0.191	1.7084901765891966e-09	0.0	0.0	0.0	0.0	0.0	0.0
0.192	1.7174351513466502e-09	0.0	0.0	0.0	0.0	0.0	0.0
0.193	1.7263801261039356e-09	0.0	0.0	0.0	0.0	0.0	0.0
0.194	1.7353251008610567e-09	0.0	0.0	0.0	0.0	0.0	0.0
0.195	1.744270075618018e-09	0.0	0.0	0.0	0.0	0.0	0.0
0.196	1.7532150503748234e-09	0.0	0.0	0.0	0.0	0.0	0.0
0.197	1.7621600251314775e-09	0.0	0.0	0.0	0.0	0.0	0.0
0.198	1.7711049998879834e-09	0.0	0.0	0.0	0.0	0.0	0.0
0.199	1.7800499746443447e-09	0.0	0.0	0.0	0.0	0.0	0.0
0.2	1.7889949494005651e-09	0.0	0.0	0.0	0.0	0.0	0.0
0.201	1.7979399241566483e-09	0.0	0.0	0.0	0.0	0.0	0.0
0.202	1.8068848989125983e-09	0.0	0.0	0.0	0.0	0.0	0.0
0.203	1.8158298736684174e-09	0.0	0.0	0.0	0.0	0.0	0.0
0.20400000000000001	1.8247748484241093e-09	0.0	0.0	0.0	0.0	0.0	0.0
0.20500000000000002	1.8337198231796767e-09	0.0	0.0	0.0	0.0	0.0	0.0
0.20600000000000002	1.8426647979351223e-09	0.0	0.0	0.0	0.0	0.0	0.0
0.20700000000000002	1.8516097726904504e-09	0.0	0.0	0.0	0.0	0.0	0.0
0.20800000000000002	1.8605547474456621e-09	0.0	0.0	0.0	0.0	0.0	0.0
0.20900000000000002	1.8694997222007618e-09	0.0	0.0	0.0	0.0	0.0	0.0
0.21	1.87844469695575e-09	0.0	0.0	0.0	0.0	0.0	0.0
0.211	1.8873896717106323e-09	0.0	0.0	0.0	0.0	0.0	0.0
0.212	1.896334646465409e-09	2.1345306447839001e-10	0.0	0.0	0.0	0.0	0.0006752279135396534
0.213	1.905279621220083e-09	3.4789319351827255e-10	0.0	0.0	0.0	0.0	0.0010577783532577341
0.214	1.914224595974657e-09	4.426346054023307e-10	0.0	0.0	0.0	0.0	0.00133298248153468
0.215	1.923169570729133e-09	5.198715727433434e-10	0.0	0.0	0.0	0.0	0.0015588214768095902
0.216	1.9321145454835133e-09	5.865743260927608e-10	0.0	0.0	0.0	0.0	0.0017545047580732203
0.217	1.9410595202378e-09	6.460266825428207e-10	0.0	0.0	0.0	0.0	0.0019292670586516767
0.218	1.950004494991996e-09	7.00089433224203e-10	0.0	0.0	0.0	0.0	0.0020884001357489444
0.219	1.9589494697461028e-09	7.499392480883552e-10	0.0	0.0	0.0	0.0	0.002235274414480467
0.22	1.9678944445001225e-09	7.963769498960666e-10	0.0	0.0	0.0	0.0	0.002372195375978682
0.221	1.976839419254057e-09	8.399772020509948e-10	0.0	0.0	0.0	0.0	0.0025008236346184434
0.222	1.9857843940079073e-09	8.811692291849558e-10	0.0	0.0	0.0	0.0	0.00262240313224453
0.223	1.994729368761677e-09	9.202838499384079e-10	0.0	0.0	0.0	0.0	0.0027378948383226256
0.224	2.003674343515367e-09	9.575825678046626e-10	0.0	0.0	0.0	0.0	0.0028480598085616924
0.225	2.012619318268979e-09	9.932764416528367e-10	0.0	0.0	0.0	0.0	0.0029535132537344064
0.226	2.0215642930225147e-09	1.0275388119337721e-09	0.0	0.0	0.0	0.0	0.003054761110123818
0.227	2.0305092677759757e-09	1.0605141657815537e-09	0.0	0.0	0.0	0.0	0.0031522255772253433
