mass[GeV]	e_e	mu_mu	tau_tau	neutrinos	piGamma	total
0.5606060606060606	2.427114117692334e-08	2.580309510736095e-11	0.0	3.64095134475617e-08	1.3415151038745385e-14	6.070647113474344e-08
0.5797979797979798	2.5102170865911856e-08	9.47061370106368e-11	0.0	3.7655965259280116e-08	1.884193679916839e-14	6.28528611041394e-08
0.598989898989899	2.593319659442891e-08	2.2199893415474016e-10	0.0	3.890241707099852e-08	2.567964166632116e-14	6.505763827922384e-08
0.6181818181818182	2.6764218731260687e-08	4.1455807905270815e-10	0.0	4.0148868882716694e-08	3.4119542162807055e-14	6.732767981257225e-08
0.6373737373737373	2.7595237600788412e-08	6.749116836165439e-10	0.0	4.1395320694435075e-08	4.435688409267926e-14	6.966551433572412e-08
0.6565656565656565	2.8426253489475184e-08	1.0027407295347175e-09	0.0	4.2641772506153503e-08	5.6591945882271975e-14	7.207082331710929e-08
0.6757575757575757	2.925726665124908e-08	1.395909916711152e-09	0.0	4.388822431787163e-08	7.102990702178316e-14	7.454147191573888e-08
0.6949494949494949	3.008827731199492e-08	1.8511735066827006e-09	0.0	4.513467612959008e-08	8.78786487930584e-14	7.70742148269165e-08
0.7141414141414141	3.091928567332047e-08	2.364658048344305e-09	0.0	4.638112794130849e-08	1.0735403975265578e-13	7.966517901701301e-08
0.7333333333333333	3.175029191573282e-08	2.932189333445388e-09	0.0	4.762757975302682e-08	1.2967615358050604e-13	8.23101906783586e-08
