mass[GeV]	DM
0.234	0.00565455798381424
0.23500000000000001	0.005678722761522848
0.23600000000000002	0.005702887539231456
0.23700000000000002	0.0057270523169400634
0.23800000000000002	0.005751217094648672
0.23900000000000002	0.00577538187235728
0.24000000000000002	0.005799546650065887
0.241	0.005823711427774495
0.242	0.005847876205483102
0.243	0.0058720409831917115
0.244	0.005896205760900319
0.245	0.005920370538608927
0.246	0.005944535316317534
0.247	0.005968700094026142
0.248	0.00599286487173475
0.249	0.006017029649443357
0.25	0.0060411944271519654
0.251	0.006065359204860575
0.252	0.006089523982569182
0.253	0.0061136887602777894
0.254	0.006137853537986398
0.255	0.006162018315695004
0.256	0.0061861830934036134
0.257	0.006210347871112221
0.258	0.006234512648820828
0.259	0.006258677426529437
0.26	0.006282842204238044
0.261	0.006307006981946653
0.262	0.006331171759655258
0.263	0.0063553365373638674
0.264	0.006379501315072475
0.265	0.006403666092781083
0.266	0.00642783087048969
0.267	0.0064519956481983
0.268	0.006476160425906908
0.269	0.006500325203615516
0.27	0.006524489981324123
0.271	0.006548654759032732
0.272	0.0065728195367413395
0.273	0.006596984314449946
0.274	0.006621149092158553
0.275	0.006645313869867162
0.276	0.00666947864757577
0.277	0.006693643425284377
0.278	0.006717808202992987
0.279	0.006741972980701594
0.28	0.006766137758410202
0.281	0.006790302536118811
0.28200000000000003	0.006814467313827418
0.28300000000000003	0.006838632091536026
0.28400000000000003	0.006862796869244635
